date,sleep_h,active_cal,exercise_h,stand_h,basal_cal,flights,max_hr,min_o2,activity_mets,avg_rr,avg_resting_hr,steps,daylight_h
2018-11-10,,290.09,21.0,,1457.999,12.0,112.0,,,,64.0,16149.0,
2018-11-11,,1.418,1.0,,1313.442,1.0,,,,,,117.0,
2018-11-12,,201.477,15.0,,1394.39,2.0,83.0,,,,55.0,9696.0,
2018-11-13,,25.394000000000002,3.0,,1341.7,,,,,,,422.0,
2018-11-14,,,,,1314.6480000000001,5.0,,,,,,,
2018-11-15,,,,,1314.6480000000001,8.0,,,,,,,
2018-11-16,,183.927,21.0,,1410.019,8.0,121.0,,,,56.0,3251.0,
2018-11-17,,1.184,1.0,,1313.63,18.0,99.0,,,,,57182.0,
2018-11-18,,,,,1270.1009999999999,1.0,,,,,,1536.0,
2018-11-19,,395.176,51.0,,1354.721,16.0,161.423,,,,,30873.0,
2018-11-20,,209.472,13.0,,1522.326,13.0,124.0,,,,51.0,5566.0,
2018-11-21,,84.203,7.0,,1366.637,17.0,114.0,,,,,10529.0,
2018-11-22,,2.9269999999999996,2.0,,1313.325,11.0,,,,,,1949.0,
2018-11-23,,,,,1314.6480000000001,8.0,,,,,,3195.0,
2018-11-24,,,,,1314.6480000000001,5.0,,,,,,2070.0,
2018-11-25,,,,,1314.6480000000001,7.0,,,,,,588.0,
2018-11-26,,,,,1314.6480000000001,9.0,,,,,,8845.0,
2018-11-27,,447.033,49.0,,1385.233,11.0,185.0,,,,56.0,14270.0,
2018-11-28,,303.273,55.0,,1392.901,8.0,111.5,,,,66.0,7410.0,
2018-11-29,,26.005,,,1336.951,1.0,,,,,,2901.0,
2018-11-30,,411.75100000000003,46.0,,1378.208,12.0,167.0,,,,68.0,14742.0,
2018-12-01,,,,,1313.663,9.0,,,,,,8454.0,
2018-12-02,,283.43600000000004,48.0,,1357.324,,118.028,,,,76.0,6739.0,
2018-12-03,,395.135,57.0,,1340.367,8.0,160.0,,,,,12918.0,
2018-12-04,,,,,1314.6480000000001,9.0,,,,,,3955.0,
2018-12-05,,375.719,44.0,,1472.644,10.0,104.0,,,,54.0,17029.0,
2018-12-06,,199.468,42.0,,1382.44,9.0,114.402,,,,,5739.0,
2018-12-07,,,,,1314.6480000000001,5.0,,,,,,2125.0,
2018-12-08,,417.64,49.0,,1421.38,10.0,115.0,,,,55.0,11880.0,
2018-12-09,,,,,1314.6480000000001,,,,,,,912.0,
2018-12-10,,303.838,67.0,,1376.803,,113.089,,,,,2757.0,
2018-12-11,,,,,1314.6480000000001,10.0,,,,,,4661.0,
2018-12-12,,,,,1314.6480000000001,15.0,,,,,,5340.0,
2018-12-13,,,,,1314.6480000000001,14.0,,,,,,3978.0,
2018-12-14,,,,,1314.6480000000001,9.0,,,,,,2720.0,
2018-12-15,,0.233,,,1320.048,7.0,,,,,,14927.0,
